Date,Time (mins)
9/4/2023,36
9/3/2023,46
9/2/2023,36
9/1/2023,49
8/31/2023,33
8/30/2023,26
8/29/2023,48
8/28/2023,49
8/27/2023,55
8/26/2023,41
8/25/2023,35
8/24/2023,64
8/23/2023,34
8/22/2023,24
8/21/2023,40
8/20/2023,40
8/19/2023,38
8/18/2023,35
8/17/2023,34
8/16/2023,42
8/15/2023,46
8/14/2023,42
8/13/2023,57
8/12/2023,36
8/11/2023,58
8/10/2023,46
8/9/2023,40
8/8/2023,48
8/7/2023,49
8/6/2023,31
8/5/2023,25
8/4/2023,36
8/3/2023,29
8/2/2023,43
8/1/2023,67
7/31/2023,39
7/30/2023,47
7/29/2023,47
7/28/2023,31
7/27/2023,39
7/26/2023,38
7/25/2023,28
7/24/2023,45
7/23/2023,35
7/22/2023,33
7/21/2023,29
7/20/2023,36
7/19/2023,37
7/18/2023,32
7/17/2023,40
7/16/2023,34
7/15/2023,22
7/14/2023,47
7/13/2023,32
7/12/2023,34
7/11/2023,33
7/10/2023,38
7/9/2023,35
7/8/2023,48
7/7/2023,30
7/6/2023,34
7/5/2023,40
7/4/2023,40
7/3/2023,41
7/2/2023,36
7/1/2023,29
6/30/2023,55
6/29/2023,36
6/28/2023,49
6/27/2023,40
6/26/2023,37
6/25/2023,30
6/24/2023,50
6/23/2023,29
6/22/2023,35
6/21/2023,36
6/20/2023,34
6/19/2023,34
6/18/2023,34
6/17/2023,32
6/16/2023,35
6/15/2023,31
6/14/2023,47
6/13/2023,36
6/12/2023,47
6/11/2023,42
6/10/2023,43
6/9/2023,31
6/8/2023,52
6/7/2023,48
6/6/2023,40
6/5/2023,39
6/4/2023,69
6/3/2023,48
6/2/2023,34
6/1/2023,43
5/31/2023,35
5/30/2023,48
5/29/2023,34
5/28/2023,30
5/27/2023,34
5/26/2023,35
5/25/2023,48
5/24/2023,51
5/23/2023,38
5/22/2023,57
5/21/2023,34
5/20/2023,46
5/19/2023,46
5/18/2023,59
5/17/2023,37
5/16/2023,40
5/15/2023,45
5/14/2023,42
5/13/2023,50
5/12/2023,41
5/11/2023,49
5/10/2023,39
5/9/2023,47
5/8/2023,35
5/7/2023,56
5/6/2023,30
5/5/2023,47
5/4/2023,47
5/3/2023,49
5/2/2023,41
5/1/2023,51
4/30/2023,64
4/29/2023,41
4/28/2023,28
4/27/2023,48
4/26/2023,36
4/25/2023,35
4/24/2023,44
4/23/2023,33
4/22/2023,50
4/21/2023,28
4/20/2023,58
4/19/2023,48
4/18/2023,42
4/17/2023,43
4/16/2023,48
4/15/2023,44
4/14/2023,35
4/13/2023,34
4/12/2023,53
4/11/2023,34
4/10/2023,49
4/9/2023,50
4/8/2023,56
4/7/2023,16
4/6/2023,52
4/5/2023,53
4/4/2023,48
4/3/2023,35
4/2/2023,59
4/1/2023,26
3/31/2023,50
3/30/2023,68
3/29/2023,26
3/28/2023,57
3/27/2023,52
3/26/2023,46
3/25/2023,99
3/24/2023,66
3/23/2023,52
3/22/2023,81
3/21/2023,52
3/20/2023,62
3/19/2023,46
3/18/2023,52
3/17/2023,40
3/16/2023,76
3/15/2023,54
3/14/2023,61
3/13/2023,47
3/12/2023,39
3/11/2023,61
3/10/2023,67
3/9/2023,44
3/8/2023,44
3/7/2023,29
3/6/2023,52
3/5/2023,50
3/4/2023,96
3/3/2023,29
3/2/2023,28
3/1/2023,66
2/28/2023,165
2/27/2023,69
2/26/2023,42
2/25/2023,54
2/24/2023,27
2/23/2023,43
2/22/2023,98
2/21/2023,23
2/20/2023,223
2/19/2023,32
2/18/2023,42
2/17/2023,51
2/16/2023,85
2/15/2023,20
2/14/2023,79
2/13/2023,67
2/12/2023,64
2/11/2023,136
2/10/2023,81
2/9/2023,64
2/8/2023,28
2/7/2023,16
2/6/2023,41
2/5/2023,94
2/4/2023,74
2/3/2023,1
